file,tag,confidence,color,dimensions,last_analyzed,file_size
#BLUD.jpg,comic book,17.23%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,book jacket,4.77%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,jersey,1.37%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,puck,0.75%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,sweatshirt,0.68%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,gray,100.00%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,2025,100.00%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,may,100.00%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,image,100.00%,gray,300x373,2025-05-06T05:42:29.588770,32543
#BLUD.jpg,#blud,100.00%,gray,300x373,2025-05-06T05:42:29.588770,32543
#killallzombies.jpg,comic book,20.84%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,unicycle,4.75%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,cinema,2.49%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,book jacket,2.21%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,stage,1.97%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,brown,100.00%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,2025,100.00%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,may,100.00%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,image,100.00%,brown,300x168,2025-05-06T05:42:29.645565,15877
#killallzombies.jpg,#killallzombies,100.00%,brown,300x168,2025-05-06T05:42:29.645565,15877
% Arabica Egypt Cairo Roastery.jpg,lumbermill,49.06%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,library,3.15%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,pedestal,2.73%,gray,528x330,2025-05-06T05:42:29.709281,60001
