Name,Description
Xi Jinping,"The leader of the world's most populated country and second largest economy (GDP), Xi Jinping holds a firm grasp on China's only political party.In March, China's parliament amended its constitution, broadening Xi's power and scrapping term limits.After ascending to the presidency in 2012, Xi was quick to see the benefits of privatization-friendly reform.He is widely credited with the slogan Chinese Dream - a set of personal and national ideals for the advancement of Chinese society. He has a surprisingly assertive public profile, even allowing the state media to publish a day-in-the-life account of his workday."
Vladimir Putin,"Voted the world's most powerful person four times between 2013 and 2016, Russia's president has exerted his country's influence around the world.An FBI investigation is underway to determine whether Trump's campaign had a relationship with high ranking Russian officials during the elections.Trump and Putin have denied the allegations, though Facebook admitted that 126 million Americans saw political ads purchased by Russian organizations.Born in 1952 in Saint Petersburg, Putin served as Prime Minister for one year during Yeltsin's presidency and ascended to the highest office in 2000.Putin's international influence stems largely from Europe's dependence on Russian oil and gas, state-owned Gazprom is one of EU's largest suppliers."
Donald Trump,"Donald Trump has presided over the most lucrative post-presidency in American history, selling his supporters NFTs, coffee-table books and, most importantly, shares of a money-losing social-media venture.Much of Trump's fortune remains in real estate, which has struggled in recent years as interest rates increased, shoppers moved online and office workers headed home.He also owns golf courses, mansions, a winery and a 1991 Boeing 757 nicknamed Trump Force One.A New York judge has ordered Trump to pay $454 million after the attorney general accused him of lying about his net worth for years to make himself look more creditworthy.Trump got his start working for his father, Fred, who developed low-cost housing in Brooklyn and Queens."
Angela Merkel,"Merkel became the first female Chancellor of Germany in 2005 and is serving her fourth term. In November 2018, Merkel stepped down as leader of the Christian Democratic Union and announced she wouldn't seek another term as chancellor in 2021.Merkel remains the de facto leader of Europe, leading the region's largest economy after steering Germany through financial crisis and back to growth. Her leadership is marked by her steely reserve, from standing up to Donald Trump to allowing more than a million Syrian refugees into Germany. For now, she leads a coalition government unpopular with voters, facing continuing storms from Brexit and growing anti-immigrant sentiment in Europe.The big question that the public is now asking is who and what will come after Merkel's time in office comes to an end."
Jeff Bezos,"Jeff Bezos founded e-commerce giant Amazon in 1994 out of his Seattle garage.Bezos stepped down as CEO to become executive chairman in 2021. He owns a bit less than 10% of the company.He and his wife MacKenzie divorced in 2019 after 25 years of marriage and he transferred a quarter of his then-16% Amazon stake to her.In 2020, Bezos committed to donate $10 billion to climate causes by 2030 through his Bezos Earth Fund; he has granted $2 billion so far.He owns The Washington Post and Blue Origin, an aerospace company developing rockets; he briefly flew to space in one in July 2021.Bezos said in a November 2022 interview with CNN that he plans to give away the majority of his wealth in his lifetime, without disclosing specific details."
Pope Francis,"Pope Francis is the spiritual leader to more than one-sixth of the world's population, 1.3 billion people. He has made it his personal mission to transform the longstanding conservative image of the Catholic Church. In November 2016 he gave priests the power to forgive women who undergo abortions.He has continued to push for climate change reform, better treatment of refugees and greater attention to persecution of religious minorities.Still, Francis has kept some traditional aspects of the Church in place, including a ban on female clergy members."
Bill Gates,"Bill Gates diversified his fortune from software firm Microsoft into dozens of holdings, including waste disposal firm Republic Services and tractor maker Deere & Co.Gates, a computer enthusiast from a young age, dropped out of Harvard to cofound Microsoft with Paul Allen (d. 2018) in 1975, hoping to capitalize on the spread of personal computers.As of March 2020, when Gates stepped down from the Microsoft board, he owned about 1.3% of the software and computing company's shares.After Bill donated Microsoft shares worth billions to the trust that funds the Gates Foundation in 2022, his Microsoft stake is now less than 1%, Forbes estimates.In 2021, Bill and Melinda Gates each announced on Twitter they were ending their marriage after 27 years. He is now the sole chairman of the charitable Gates Foundation.To date, Gates has donated more than $59 billion to the Gates Foundation, including a $20 billion gift announced in 2022. Most of his early donations were gifts of Microsoft stock."
Mohammed bin Salman Al Saud,"His father remains king of Saudi Arabia, but the crown prince has consolidated power beyond any doubt and taken control of the country.In November 2017, Al Saud led an 'anticorruption campaign' that caused many prominent Saudis to be arrested and forced to turn over their fortunes.As a result of the campaign, ten Saudi billionaires were dropped from Forbes' annual list of the world's billionaires.The crown prince will be the fulcrum around which the Middle Eastern geopolitics moves for the next generation."
Narendra Modi,"India's populist prime minister remains hugely popular in the second most populous country on earth, with a population of 1.3 billion people. In November 2016 he unexpectedly announced plans to eliminate India's two largest banknotes in a bid to reduce money laundering and corruption.Modi has raised his profile as a global leader in recent years during official visits with Donald Trump and Xi Jinping. He has also emerged as a key figure in the international effort to tackle climate change, as warming affects millions of his country's rural citizens."
Larry Page,"Larry Page stepped down as CEO of Alphabet, the parent company of Google, in 2019 but remains a board member and a controlling shareholder.He cofounded Google in 1998 with fellow Stanford Ph.D. student Sergey Brin.With Brin, Page invented Google's PageRank algorithm, which powers the search engine.Page was CEO until 2001, when Eric Schmidt took over, and then from 2011 until 2015, when he became CEO of Google's new parent firm Alphabet."
